date,price,type
2020-01-01,24.64,Europe (€ per tonne)
2020-01-02,24.39,Europe (€ per tonne)
2020-01-03,24.98,Europe (€ per tonne)
2020-01-04,24.98,Europe (€ per tonne)
2020-01-05,24.98,Europe (€ per tonne)
2020-01-06,24.23,Europe (€ per tonne)
2020-01-07,24.55,Europe (€ per tonne)
2020-01-08,24.08,Europe (€ per tonne)
2020-01-09,24.67,Europe (€ per tonne)
2020-01-10,24.21,Europe (€ per tonne)
2020-01-11,24.21,Europe (€ per tonne)
2020-01-12,24.21,Europe (€ per tonne)
2020-01-13,24.14,Europe (€ per tonne)
2020-01-14,23.84,Europe (€ per tonne)
2020-01-15,24.51,Europe (€ per tonne)
2020-01-16,24.85,Europe (€ per tonne)
2020-01-17,25.44,Europe (€ per tonne)
2020-01-18,25.44,Europe (€ per tonne)
2020-01-19,25.44,Europe (€ per tonne)
2020-01-20,25.17,Europe (€ per tonne)
2020-01-21,24.92,Europe (€ per tonne)
2020-01-22,25.01,Europe (€ per tonne)
2020-01-23,24.7,Europe (€ per tonne)
2020-01-24,24.38,Europe (€ per tonne)
2020-01-25,24.38,Europe (€ per tonne)
2020-01-26,24.38,Europe (€ per tonne)
2020-01-27,24.59,Europe (€ per tonne)
2020-01-28,24.65,Europe (€ per tonne)
2020-01-29,23.99,Europe (€ per tonne)
2020-01-30,23.74,Europe (€ per tonne)
2020-01-31,23.88,Europe (€ per tonne)
2020-02-01,23.88,Europe (€ per tonne)
2020-02-02,23.88,Europe (€ per tonne)
2020-02-03,23.21,Europe (€ per tonne)
2020-02-04,23.36,Europe (€ per tonne)
2020-02-05,23.77,Europe (€ per tonne)
2020-02-06,23.56,Europe (€ per tonne)
2020-02-07,23.32,Europe (€ per tonne)
2020-02-08,23.32,Europe (€ per tonne)
2020-02-09,23.32,Europe (€ per tonne)
2020-02-10,23.16,Europe (€ per tonne)
2020-02-11,23.3,Europe (€ per tonne)
2020-02-12,23.88,Europe (€ per tonne)
2020-02-13,24.4,Europe (€ per tonne)
2020-02-14,24.29,Europe (€ per tonne)
2020-02-15,24.29,Europe (€ per tonne)
2020-02-16,24.29,Europe (€ per tonne)
2020-02-17,25.05,Europe (€ per tonne)
2020-02-18,25.14,Europe (€ per tonne)
2020-02-19,25.71,Europe (€ per tonne)
2020-02-20,25.64,Europe (€ per tonne)
2020-02-21,25.61,Europe (€ per tonne)
2020-02-22,25.61,Europe (€ per tonne)
2020-02-23,25.61,Europe (€ per tonne)
2020-02-24,24.57,Europe (€ per tonne)
2020-02-25,24.18,Europe (€ per tonne)
2020-02-26,24.26,Europe (€ per tonne)
2020-02-27,23.6,Europe (€ per tonne)
2020-02-28,23.61,Europe (€ per tonne)
2020-02-29,23.61,Europe (€ per tonne)
2020-03-01,23.61,Europe (€ per tonne)
2020-03-02,23.52,Europe (€ per tonne)
2020-03-03,23.36,Europe (€ per tonne)
2020-03-04,23.83,Europe (€ per tonne)
2020-03-05,23.81,Europe (€ per tonne)
