age,body,colour,fuel,location,make,milage,model,price,transmission
9.1115674196,Hatchback,White,Petrol,Northampton,SUZUKI,35529,ALTO HATCHBACK 1.0 SZ 5dr,5800,Manual
9.3278576318,Hatchback,White,Petrol,Wakefield,FORD,59852,FIESTA HATCHBACK 1.0 EcoBoost Zetec 3dr,6450,Manual
6.726899384,Hatchback,Red,Petrol,Wakefield,PEUGEOT,40536,108 HATCHBACK 1.0 Active 5dr,7150,Manual
7.8494182067,Hatchback,Black,Petrol,Doncaster,FIAT,47464,500 HATCHBACK 1.2 S 3dr,7150,Manual
7.2306639288,Hatchback,Red,Petrol,Bristol,SKODA,26687,CITIGO HATCHBACK 1.0 MPI SE 3dr,7300,Manual
6.3134839151,Hatchback,Black,Petrol,Warrington,RENAULT,31173,TWINGO HATCHBACK 1.0 SCE Play 5dr,7300,Manual
7.5619438741,Hatchback,Black,Petrol,Cardiff,FIAT,51988,500 HATCHBACK 1.2 Lounge 3dr,7300,Manual
7.370294319,Hatchback,White,Petrol,Wakefield,SKODA,31306,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI Colour Edition 3dr,7500,Manual
9.1854893908,Hatchback,Orange,Petrol,Doncaster,VOLKSWAGEN,48996,UP HATCHBACK SPECIAL EDS 1.0 Groove Up 3dr,7500,Manual
5.8918548939,Hatchback,Red,Petrol,Norwich,CITROEN,27042,C1 HATCHBACK 1.0 VTi Feel 3dr,7500,Manual
5.3333333333,Hatchback,Black,Petrol,Norwich,KIA,78235,PICANTO HATCHBACK 1.0 2 5dr,7550,Manual
8.8514715948,Hatchback,Orange,Petrol,Doncaster,CITROEN,23262,C1 HATCHBACK 1.0 VTi Flair 3dr,7550,Manual
8.0082135524,Hatchback,Blue,Petrol,Northampton,HYUNDAI,50585,I10 HATCHBACK 1.2 Premium SE 5dr,7700,Manual
7.0636550308,Hatchback,Black,Petrol,Swindon,FIAT,47902,500 HATCHBACK 1.2 Lounge 3dr,7750,Manual
6.8145106092,Hatchback,Grey,Petrol,Warrington,CITROEN,39159,C1 HATCHBACK 1.2 PureTech Flair 5dr,7800,Manual
4.5229295003,Hatchback,Grey,Petrol,Norwich,HYUNDAI,50059,I10 HATCHBACK 1.2 SE 5dr,7850,Manual
6.8145106092,Hatchback,Red,Petrol,Warrington,VAUXHALL,38946,ADAM HATCHBACK 1.2i Jam 3dr,7900,Manual
7.6605065024,Hatchback,Pink,Petrol,Swindon,FIAT,46993,500 HATCHBACK 0.9 TwinAir 105 Lounge 3dr,7900,Manual
8.476386037,Hatchback,Black,Petrol,Swindon,FORD,17377,KA HATCHBACK 1.2 Metal 3dr [Start Stop],8000,Manual
8.6379192334,Hatchback,White,Petrol,Sheffield,HYUNDAI,22179,IX20 HATCHBACK 1.4 Active 5dr,8000,Manual
6.6694045175,Hatchback,Mauve,Petrol,Sheffield,PEUGEOT,27752,108 TOP HATCHBACK 1.0 Active 5dr,8000,Manual
7.8932238193,Sports,Pink,Petrol,Swindon,FIAT,47667,500C CONVERTIBLE 1.2 Lounge 2dr,8000,Manual
5.2703627652,Hatchback,Yellow,Petrol,Wakefield,SKODA,8375,CITIGO HATCHBACK 1.0 MPI S 3dr,8000,Manual
5.3141683778,Hatchback,Grey,Petrol,Nottingham,VAUXHALL,41019,VIVA HATCHBACK 1.0 Rocks 5dr,8150,Manual
6.932238193,Hatchback,Silver,Diesel,Doncaster,RENAULT,65581,CLIO DIESEL HATCHBACK 1.5 dCi 90 ECO Dynamique Nav 5dr,8200,Manual
4.8405201916,Hatchback,Grey,Petrol,Cardiff,SMART,17031,FORFOUR HATCHBACK 1.0 Passion 5dr,8300,Manual
4.8323066393,Hatchback,Blue,Petrol,Wakefield,VOLKSWAGEN,37498,UP HATCHBACK 1.0 Take Up 3dr,8300,Manual
6.7241615332,Hatchback,Grey,Petrol,Cardiff,CITROEN,33679,C1 HATCHBACK 1.2 PureTech Flair 5dr,8300,Manual
5.839835729,Hatchback,White,Petrol,Swindon,HYUNDAI,30272,I10 HATCHBACK 1.0 S 5dr,8300,Manual
5.3744010951,Hatchback,Blue,Petrol,Norwich,VAUXHALL,26492,VIVA HATCHBACK 1.0 SE 5dr,8300,Manual
6.3436002738,Hatchback,Red,Petrol,Sheffield,TOYOTA,32493,AYGO HATCHBACK 1.0 VVT-i X-Play 5dr,8400,Manual
4.1177275838,Hatchback,Black,Petrol,Warrington,SKODA,24301,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI GreenTech Colour Edition 3dr,8500,Manual
4.3203285421,Hatchback,Blue,Petrol,Cardiff,SEAT,41670,MII HATCHBACK 1.0 Design Mii [EZ] 5dr,8500,Manual
6.0643394935,Hatchback,Blue,Petrol,Warrington,VAUXHALL,47694,CORSA HATCHBACK SPECIAL EDS 1.4 [75] ecoFLEX Energy 3dr [AC],8500,Manual
5.0787132101,Hatchback,Green,Petrol,Cardiff,SKODA,47100,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI Colour Edition 5dr,8500,Manual
5.7686516085,Hatchback,Silver,Petrol,Northampton,VAUXHALL,51821,CORSA HATCHBACK 1.4 SRi Vx-line 5dr,8500,Manual
4.8213552361,Hatchback,Red,Petrol,Swindon,FIAT,17480,500 HATCHBACK 1.2 Pop 3dr,8600,Manual
4.8624229979,Hatchback,Blue,Petrol,Sheffield,PEUGEOT,25719,108 HATCHBACK 1.0 72 Active 5dr,8600,Manual
7.8165639973,MPV,Red,Petrol,Warrington,VAUXHALL,19529,MERIVA ESTATE 1.4T 16V Exclusiv 5dr,8600,Manual
6.5653661875,Hatchback,Blue,Petrol,Cardiff,VAUXHALL,36893,ADAM HATCHBACK SPECIAL EDS 1.2i Energised 3dr,8600,Manual
4.3969883641,Hatchback,Grey,Petrol,Cardiff,FIAT,8338,PANDA HATCHBACK 1.2 Easy 5dr,8700,Manual
4.0219028063,Hatchback,Blue,Petrol,Cardiff,RENAULT,12444,TWINGO HATCHBACK 0.9 TCE Iconic 5dr [Start Stop],8700,Manual
3.9972621492,Hatchback,Red,Petrol,Sheffield,SKODA,31149,CITIGO HATCHBACK 1.0 MPI GreenTech SE 5dr,8700,Manual
5.3196440794,Hatchback,White,Petrol,Nottingham,VAUXHALL,16709,VIVA HATCHBACK 1.0 SE 5dr [A/C],8700,Manual
4.4736481862,Hatchback,Red,Petrol,Swindon,VAUXHALL,40577,ADAM HATCHBACK SPECIAL EDS 1.2i Energised 3dr,8750,Manual
3.8138261465,Hatchback,Red,Petrol,Bristol,HYUNDAI,24669,I10 HATCHBACK 1.0 S 5dr,8750,Manual
5.311430527,Hatchback,Red,Petrol,Norwich,VAUXHALL,33295,ADAM HATCHBACK SPECIAL EDS 1.2i Energised 3dr,8750,Manual
4.5612594114,Hatchback,Grey,Petrol,Cardiff,FIAT,41582,500 HATCHBACK 1.2 Lounge 3dr,8800,Manual
3.5838466804,Hatchback,White,Petrol,Warrington,VOLKSWAGEN,32755,UP HATCHBACK 1.0 Move Up 5dr,8800,Manual
4.3449691992,Hatchback,White,Petrol,Norwich,FIAT,26607,PANDA HATCHBACK 1.2 Lounge 5dr,8800,Manual
3.9808350445,Hatchback,White,Petrol,Sheffield,HYUNDAI,27390,I10 HATCHBACK 1.0 S 5dr,8800,Manual
4.9801505818,Hatchback,Red,Petrol,Cardiff,VOLKSWAGEN,42463,UP HATCHBACK 1.0 Move Up 5dr,8800,Manual
7.0855578371,Hatchback,Blue,Petrol,Sheffield,VAUXHALL,36064,CORSA HATCHBACK SPECIAL EDS 1.4 Limited Edition 3dr,8800,Manual
6.1464750171,Small,Blue,Petrol,Bristol,SMART,17740,FORTWO COUPE 1.0 Prime 2dr,8800,Manual
5.0787132101,Small,Red,Petrol,Sheffield,SMART,13405,FORTWO COUPE 1.0 Passion 2dr,8800,Manual
4.3586584531,Hatchback,Blue,Petrol,Manchester,HYUNDAI,16501,I10 HATCHBACK 1.0 SE 5dr,8850,Manual
4.0684462697,Hatchback,White,Petrol,Norwich,FIAT,23368,500 HATCHBACK 1.2 Pop 3dr,8900,Manual
4.3969883641,Hatchback,Red,Petrol,Doncaster,CITROEN,23176,C1 HATCHBACK 1.0 VTi 72 Flair 5dr,8900,Manual
4.5229295003,Hatchback,Grey,Petrol,Bristol,HYUNDAI,40047,I10 HATCHBACK 1.2 SE 5dr,8900,Manual
3.6002737851,Hatchback,Blue,Petrol,Northampton,CITROEN,1,C1 HATCHBACK 1.0 VTi 72 Feel 5dr,8900,Manual
5.8124572211,Hatchback,Red,Petrol,Cardiff,VOLKSWAGEN,35349,UP HATCHBACK SPECIAL EDS 1.0 Up Beats 3dr,8900,Manual
4.977412731,Hatchback,White,Petrol,Doncaster,FIAT,32374,500 HATCHBACK 1.2 Lounge 3dr,8900,Manual
