city,enroll,name,rate,state
Parkville,8782,Park University,42.1%,MO
Ann Arbor,1135,Concordia University Ann Arbor,42.7%,MI
Minden,957,Northwest Louisiana Technical College,42.4%,LA
Boston,15637,University of Massachusetts Boston,42.2%,MA
Columbus,2477,Mississippi University for Women,43%,MS
Moorhead,5088,Minnesota State University Moorhead,42.7%,MN
Louisville,2541,Sullivan University,42%,KY
Dodge City,1731,Dodge City Community College,40.3%,KS
Lindsborg,737,Bethany College,40.2%,KS
Mason City,2482,North Iowa Area Community College,40.9%,IA
Fairfield,2403,Maharishi University of Management,40%,IA
Terre Haute,9459,Indiana State University,40.7%,IN
Evansville,9756,University of Southern Indiana,40.8%,IN
Canton,1273,Spoon River College,40.1%,IL
Boca Raton,301,Digital Media Arts College,36.2%,FL
Joplin,31,Messenger College,36.2%,TX
Orange,12159,Santiago Canyon College,37%,CA
Clarksville,387,Daymar College Clarksville,36.4%,TN
Appleton,11664,Fox Valley Technical College,36.4%,WI
Athens,1749,Concord University,36%,WV
Walla Walla,3084,Walla Walla Community College,36.4%,WA
Monsey,989,Yeshivath Viznitz,88.9%,NY
Northfield,2988,St Olaf College,88.1%,MN
Waltham,5558,Brandeis University,88.6%,MA
Waltham,5158,Bentley University,88.5%,MA
Lewiston,1821,Bates College,88.1%,ME
Claremont,1116,Scripps College,89%,CA
Temecula,82,Professional Golfers Career College,87.4%,CA
Lincoln,744,BryanLGH College of Health Sciences,79.2%,NE
Springfield,956,Cox College,79.3%,MO
Boston,5900,Emerson College,79.8%,MA
St. Mary's City,1544,St Mary's College of Maryland,79.9%,MD
Decorah,1744,Luther College,79.5%,IA
Dubuque,193,Emmaus Bible College,79%,IA
Indianapolis,224,International Business College Indianapolis,79.9%,IN
Pittsburgh,352,Bradford School,76.9%,PA
Meadville,1575,Allegheny College,76.5%,PA
Cincinnati,104,Cincinnati College of Mortuary Science,76.7%,OH
New York,299,Wood Tobe Coburn School,76.3%,NY
Ithaca,5239,Ithaca College,76.8%,NY
Annandale-On-Hudson,2591,Bard College,76.6%,NY
St. Benedict,114,Saint Joseph Seminary College,76.3%,LA
Denver,14130,University of Denver,76.8%,CO
Anaheim,521,Southern California Institute of Technology,75.4%,CA
Des Moines,4875,Drake University,76.6%,IA
Golden,7187,Colorado School of Mines,76.3%,CO
Amherst,32045,University of Massachusetts Amherst,76.5%,MA
Kansas City,5,Pinnacle Career Institute North Kansas City,76%,MO
Fort Collins,409,Institute of Business and Medical Careers,75.4%,CO
Spokane,2681,Whitworth University,75.1%,WA
Fort Worth,11938,Texas Christian University,75.5%,TX
Washington,1157,Washington & Jefferson College,75.5%,PA
Tallahassee,45130,Florida State University,79.3%,FL
Appleton,1483,Lawrence University,78.1%,WI
Philadelphia,6464,Saint Joseph's University,75.8%,PA
Sewanee,1820,Sewanee The University of the South,78.5%,TN
Seattle,7268,Seattle University,78.1%,WA
DuBois,98,Triangle Tech Inc Dubois,78.6%,PA
Smithfield,3441,Bryant University,78.5%,RI
Grantham,3276,Messiah College,78.4%,PA
Salem,1785,Willamette University,78.4%,OR
Cincinnati,879,The Christ College of Nursing and Health Sciences,77.3%,OH
Erdenheim,71,Antonelli Institute,78.1%,PA
Loudonville,3634,Siena College,77.5%,NY
Durham,14001,University of New Hampshire Main Campus,77.7%,NH
Wooster,1968,The College of Wooster,78.6%,OH
Minneapolis,52376,University of Minnesota Twin Cities,77.8%,MN
Indianapolis,5559,Butler University,77%,IN
Bloomington,45328,Indiana University Bloomington,77.3%,IN
Terre Haute,2101,Rose Hulman Institute of Technology,77.6%,IN
Chicago,2606,Moody Bible Institute,77.5%,IL
