born,date,height,k,match,player,position,round,team,time,tog,venue,weight,year
"June 8, 1999",25/03/2023,188cm,16,5,Luke D-Uniacke,Midfield,2,North Melbourne,04:30PM,86,Optus Stadium,87kg,2023
"December 29, 1995",16/03/2023,187cm,10,1,George Hewett,Midfield,1,Carlton,07:20PM,71,MCG,85kg,2023
"February 9, 2001",25/03/2023,179cm,18,5,Caleb Serong,Midfield,2,Fremantle,04:30PM,85,Optus Stadium,83kg,2023
"October 13, 2004",01/04/2023,185cm,14,3,Harry Sheezel,"Defender,Forward",3,North Melbourne,01:45PM,81,UTAS Stadium,80kg,2023
"January 27, 1998",31/03/2023,173cm,17,2,Liam Baker,"Defender,Forward",3,Richmond,07:50PM,89,MCG,72kg,2023
"August 3, 1994",30/03/2023,192cm,17,1,Jackson Macrae,"Midfield,Forward",3,Western Bulldogs,07:20PM,80,Marvel Stadium,88kg,2023
"June 5, 2001",01/04/2023,191cm,20,3,Will Day,"Defender,Midfield",3,Hawthorn,01:45PM,83,UTAS Stadium,81kg,2023
"December 15, 1993",26/03/2023,182cm,10,8,Stephen Coniglio,"Midfield,Forward",2,GWS,03:20PM,81,Optus Stadium,84kg,2023
"July 26, 1994",26/03/2023,183cm,14,8,Tim Kelly,Midfield,2,West Coast,03:20PM,78,Optus Stadium,85kg,2023
"August 19, 1992",23/03/2023,187cm,19,1,Cameron Guthrie,Midfield,2,Geelong,07:20PM,78,MCG,88kg,2023
"January 3, 2003",25/03/2023,184cm,21,3,Nick Daicos,"Defender,Midfield",2,Collingwood,01:45PM,85,MCG,73kg,2023
"February 6, 1996",19/03/2023,186cm,30,9,Luke Ryan,Defender,1,Fremantle,04:40PM,84,Marvel Stadium,92kg,2023
"January 23, 2001",04/06/2023,192cm,13,6,Tom Green,Midfield,12,GWS,01:10PM,87,GIANTS Stadium,92kg,2023
"May 6, 2004",24/03/2023,182cm,14,2,Will Ashcroft,Midfield,2,Brisbane,06:55PM,81,Gabba,78kg,2023
"January 14, 1994",19/03/2023,186cm,7,9,Brad Crouch,Midfield,1,St Kilda,04:40PM,78,Marvel Stadium,86kg,2023
"July 22, 1997",24/03/2023,189cm,22,2,Clayton Oliver,Midfield,2,Melbourne,06:55PM,89,Gabba,87kg,2023
"April 9, 1997",03/06/2023,192cm,20,4,Jordan Dawson,"Defender,Midfield",12,Adelaide,07:00PM,84,TIO Stadium,86kg,2023
"February 17, 2001",03/06/2023,192cm,22,4,Noah Anderson,Midfield,12,Gold Coast,07:00PM,90,TIO Stadium,88kg,2023
"May 31, 1993",03/06/2023,182cm,10,3,Tom Mitchell,Midfield,12,Collingwood,02:35PM,82,Optus Stadium,83kg,2023
"March 15, 1993",03/06/2023,190cm,23,5,Thomas Stewart,Defender,12,Geelong,07:25PM,86,Marvel Stadium,88kg,2023
"April 10, 1995",03/06/2023,187cm,22,3,Dominic Sheed,Midfield,12,West Coast,02:35PM,86,Optus Stadium,87kg,2023
