Fri,Mon,Sat,Thu,Tue,Wed,city,email,name,phone,street,type,zip
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dabas,dabas@unixauto.hu,Unix Dabas,+36/29-889236,Kossuth Lajos út 1,Distributor,2373
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Monor,,Bárdi Autó Zrt.,3629814500,Külterület 0359/75 hrsz.,Distributor,2200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Cegléd,cegled@unixauto.hu,Unix Cegléd,+36/53-886360,Külső-Kátai út 1.,Distributor,2700
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Cegléd,,Bárdi Autó Zrt.,3653814640,Jászberényi út 130.,Distributor,2700
,,,,,,Cegléd,autoclub@autoclubcegled.hu,Castrol SERVICE Autóclub Cegléd Kft,+36 209256929,Külső-Jászberényi út 3. (A műhely a Szelei út bejáratában van!),Castrol SERVICE,2700
,,,,,,Maglód,kiss.zsolt@kissgumikft.hu,Castrol SERVICE Kiss Gumi Kft.,+36 309664234,Gábor Áron utca 2.,Castrol SERVICE,2234
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Kecskemét,kecskemet@langauto.hu,Láng Kft.,+36 76 814 860,Könyves Kálmán krt. 34.,Distributor,6000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Vecsés,vecses@unixauto.hu,Unix Vecsés,+36/29-889148,Fő út 187.,Distributor,2220
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kecskemét,,Bárdi Autó Zrt.,3676509590,Könyves Kálmán körút 38.,Distributor,6000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kecskemét,kecskemet@unixauto.hu,Unix Kecskemét,+36/76-505279,Szent László krt. 29.,Distributor,6000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dunaharaszti,,Bárdi Autó Zrt.,3624620310,Némedi út 63,Distributor,2330
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3612944944,Nagykőrösi út 25.,Distributor,1188
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3612655094,Cziffra György utca 115,Distributor,1182
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kiskunlacháza,,Bárdi Autó Zrt.,3624420479,Dózsa Gy. út 25.,Distributor,2340
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XVII.,bp17ker@unixauto.hu,Unix Bp.XVII.Ker.,+36/1-2585370,Pesti  út 237/L,Distributor,1173
,,,,,,Budapest,delpest@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Közdűlő u. 53.,Distributor,1186
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3612530932,Pesti út 234/a,Distributor,1173
,,,,,,Budapest,sportcarszerviz@gmail.com,Castrol SERVICE Best Sport Kft.,+36 205558883,Táncsics Mihály út 49.,Castrol SERVICE,1174
08:00 - 17:00,08:00 - 17:00,08:00 - 13:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Budapest,delpest@langauto.hu,Láng Kft.,+36 1 434 6200,Lakatos út 40.,Distributor,1184
,,,,,,Budapest,service@trendy-car.hu,Castrol SERVICE Trendy-Car Kft,+36 703190239,Szilágyság u. 60.,Castrol SERVICE,1204
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XIX.,bp19ker@unixauto.hu,Unix Bp.XIX.Ker.,+36/1-4543352,Üllői út 280,Distributor,1195
,,,,,,Szigetszentmiklós,coolcarservicekft@gmail.com,Castrol SERVICE Cool Car Service Kft,+36 309078530,Csepeli út 20.,Castrol SERVICE,2310
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szigetszentmiklós,szigetszentmiklos@unixauto.hu,Unix Szigetszentmiklós,+36/24-887316,Gyári út 88.,Distributor,2310
,,,,,,Tököl,info@tokesautoszerviz.hu,Castrol SERVICE Tőkés Autószerviz,+36 302850409,Vince Ipartelep,Castrol SERVICE,2316
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XXI.,bp21ker@unixauto.hu,Unix Bp.XXI.Ker.,+36/1-8036889,Kossuth Lajos u. 160-164,Distributor,1214
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3612782545,Ady Endre u. 63.,Distributor,1215
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest IX.,budapestix@unixauto.hu,Unix Bp.IX.Ker.,+36/1-3470938,Gubacsi út 95/C,Distributor,1097
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest X.,bp10ker@unixauto.hu,Unix Bp.X.Ker.,+36/1-2111508,Száva utca 8.,Distributor,1107
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Buda,,Bárdi Autó Zrt.,3612194240,Vidámvásár utca 4.,Distributor,1164
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XXII.,bp22ker@unixauto.hu,Unix Bp.XXII.Ker.,+36/1-4248104,Háros utca 11/a.,Distributor,1222
,,,,,,Budapest,info@kovesdan.hu,Kövesdán Kft,+36 1 229 2500,Hajó utca 1.,Independent,1221
,,,,,,Budapest,,Castrol SERVICE Dektor Kft.,,Veres Péter út 9,Castrol SERVICE,1163
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Tököl,,Bárdi Autó Zrt.,3624814858,Hermina utca 1-3.,Distributor,2316
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XVI. (D),bp16ker2@unixauto.hu,Unix Bp.XVI.Ker./2,+36/1-2111589,Veres Péter út 1-3.,Distributor,1163
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3612076255,Nagytétényi út 165.,Distributor,1225
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Budapest,csepelaruhaz@langauto.hu,Láng Kft.,+36 1 265 51 68,Szikratávíró u. hrsz. 210012/11.,Distributor,1211
08:00 - 17:00,08:00 - 17:00,08:00 - 13:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Budapest,delbuda@langauto.hu,Láng Kft.,+36 1 899 9940,Vegyész u. 17-25/ B,Distributor,1116
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3614020113,Körvasút sor 8.,Distributor,1161
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XI.,bp11ker@unixauto.hu,Unix Bp.XI.Ker.,+36/1-8036204,Kondorosi u. 3.,Distributor,1116
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Soroksári út 158./a,Independent,1095
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dunaújváros,dunaujvaros@unixauto.hu,Unix Dunaújváros,+36/25-286002,Magyar út 108-1,Distributor,2400
,,,,,,Budapest,info@oemtechnik.hu,Castrol SERVICE OEM Technik Hungary Kft,36302452361,Timur utca 20.,Castrol SERVICE,1162
07:30 - 17:30,07:30 - 19:00,08:00 - 17:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3613030930,Orczy út 44-46,Distributor,1089
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Fogarasi út 103.,Independent,1141
,,,,,,Budapest,krasznaicsaba78@gmail.com,Castrol SERVICE Stone-Autó Kft,+36 205652105,Csurgói út 15.,Castrol SERVICE,1119
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XVI. (É),bp16ker@unixauto.hu,Unix Bp.XVI.Ker.,+36/1-4039564,Csömöri út.93-97.,Distributor,1161
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Jászberény,jaszbereny@langauto.hu,Láng Kft.,+36 57 503 275,Kossuth u. 61.,Distributor,5100
,,,,,,Budapest,shop@ripca.hu,Castrol AUTOSERVICE Ripca Kft.,+36 1 422 1456,Mogyoródi út 32.,Independent,1149
,,,,,,Budapest,castrolmintabolt@gmail.com,Castrol AUTOSERVICE Ripca Kft.,36202224052,Mogyoródi út 32.,Independent,1149
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Mexikói út 18.,Independent,1149
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Fehérvári út 71-73,Independent,1119
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dunaújváros,,Bárdi Autó Zrt.,3625411103,Aranyvölgyi út 1526/6.hrsz.,Distributor,2400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Jászberény,jaszbereny@unixauto.hu,Unix Jászberény,+36/57-505800,Vásár tér 1.,Distributor,5100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Jászberény,,Bárdi Autó Zrt.,36203402543,Jásztelki út 1.,Distributor,5100
,,,,,,Szolnok,tothpeter@tothauto.com,Castrol SERVICE Tóth Péter E.V.,36202422724,Nagysándor József út 29.,Castrol SERVICE,5000
,,,,,,Dunaújváros,karosszeria@autoquality.hu,Castrol SERVICE Quality Dunaújváros Kft.,+36 25430633,Béke krt. 1.,Castrol SERVICE,2400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Érd,,Bárdi Autó Zrt.,3623814617,Budai út 13.,Distributor,2030
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szolnok,szolnok@unixauto.hu,Unix Szolnok,+36/56-513931,Mozdony út 4.,Distributor,5000
,,,,,,Budaörs,budaors@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Iparos u. 3-5.,Distributor,2040
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Érd (D),erd@unixauto.hu,Unix Érd,+36/23-520926,Velencei út 33.,Distributor,2030
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gödöllő,godollo@unixauto.hu,Unix Gödöllő,+36/28-412808,Dózsa György út 88-90.,Distributor,2100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budaörs,,Bárdi Autó Zrt.,3623430039,Vasút utca 3.,Distributor,2040
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budaörs,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Kinizsi u. 40.,Independent,2040
,,,,,,Budapest,saab@szikicar.hu,Castrol SERVICE SZiki-Car Kft.,3612395464,Komáromi út 34,Castrol SERVICE,1142
